Date,Reading,Writing,Meetings,Research,Misc.,Total,
8/26/19,0,0,1,7,1,9,
8/27/19,0,0,2,3,0,5,
8/28/19,0,0,0,1,1,2,
8/29/19,0,0,0,1,0,1,
8/30/19,0,0,0,1,0,1,
8/31/19,0,0,0,1,0,1,
9/1/19,0,1,0,0,0,1,
9/2/19,0,0,0,0,0,0,
9/3/19,0,0,0,3,0,3,
9/4/19,0,1,2,2,0,5,
9/5/19,1,2,1,0,1,5,
9/6/19,0,3,1,0,1,5,
9/7/19,0,0,0,0,0,0,
9/8/19,0,1,0,0,0,1,
9/9/19,2,0,2,0,0,4,
9/10/19,0,1,0,0,1,2,
9/11/19,1,0,1,0,0,2,
9/12/19,2,1,1,0,1,5,
9/13/19,0,0,1,0,1,2,
9/14/19,0,1,0,0,2,3,
9/15/19,0,1,0,0,0,1,
9/16/19,0,2,4,0,1,7,
9/17/19,0,1,0,1,1,3,
9/18/19,0,1,2,0,0,3,
9/19/19,0,1,1,0,1,3,
9/20/19,0,1,1,0,1,3,
9/21/19,0,0,0,0,0,0,
9/22/19,0,0,0,0,0,0,
9/23/19,0,1,2,0,1,4,
9/24/19,3,2,0,0,0,5,
9/25/19,2,0,1,0,0,3,
9/26/19,0,0,1,0,1,2,
9/27/19,0,0,0,0,2,2,
9/28/19,0,0,0,0,0,0,
9/29/19,0,0,0,0,2,2,
9/30/19,0,0,0,0,2,2,
10/1/19,0,0,1,0,2,3,
10/2/19,0,0,2,0,1,3,
10/3/19,1,1,0,0,3,5,
10/4/19,0,0,0,0,1,1,
10/5/19,0,0,0,0,0,0,
10/6/19,0,0,0,0,0,0,
10/7/19,1,0,3,1,0,5,
10/8/19,2,0,0,0,2,4,
10/9/19,1,0,2,2,1,6,
10/10/19,1,0,0,0,1,2,
10/11/19,0,0,0,0,1,1,
10/12/19,0,0,0,0,0,0,
10/13/19,0,0,0,0,0,0,
10/14/19,0,0,0,0,0,0,
10/15/19,1,0,1,1,1,4,
10/16/19,0,0,2,1,1,4,
10/17/19,1,2,0,0,0,3,
10/18/19,0,0,0,1,0,1,
10/19/19,0,0,0,0,0,0,
10/20/19,0,1,0,0,0,1,
10/21/19,0,0,0,0,1,1,
10/22/19,1,1,1,0,0,3,
10/23/19,2,1,3,0,0,6,
10/24/19,0,0,0,0,0,0,
10/25/19,0,0,0,0,0,0,
10/26/19,0,0,0,0,0,0,
10/27/19,0,0,0,0,0,0,
10/28/19,0,0,1,1,1,3,
10/29/19,0,0,3,0,0,3,
10/30/19,0,1,2,0,1,4,
10/31/19,1,0,1,0,1,3,
11/1/19,0,3,0,0,1,4,
11/2/19,0,0,0,0,1,1,
11/3/19,0,0,0,0,1,1,
11/4/19,1,0,1,0,1,3,
11/5/19,1,0,0,0,3,4,
11/6/19,0,1,3,0,1,5,
11/7/19,0,1,0,0,0,1,
11/8/19,0,0,0,0,1,1,
11/9/19,0,0,0,0,0,0,
11/10/19,0,0,0,0,0,0,
11/11/19,0,0,2,1,0,3,
11/12/19,1,0,0,3,1,5,
11/13/19,1,0,3,1,0,5,
11/14/19,0,0,0,2,0,2,
11/15/19,1,0,0,2,0,3,
11/16/19,0,0,0,0,1,1,
11/17/19,0,0,0,0,0,0,
11/18/19,0,0,0,1,2,3,
11/19/19,0,0,1,2,0,3,
11/20/19,0,0,3,4,0,7,
11/21/19,0,0,0,1,0,1,
11/22/19,0,0,1,3,0,4,
11/23/19,0,0,0,0,0,0,
11/24/19,0,0,0,0,0,0,
11/25/19,1,0,0,1,2,4,
11/26/19,0,0,1,1,1,3,
11/27/19,0,0,1,1,0,2,
11/28/19,0,0,0,0,0,0,
11/29/19,0,0,0,1,1,2,
11/30/19,0,0,0,1,1,2,
12/1/19,0,0,0,0,2,2,
12/2/19,0,0,0,0,2,2,
12/3/19,0,0,1,0,2,3,
12/4/19,0,0,0,4,2,6,
12/5/19,1,0,3,1,0,5,
12/6/19,0,1,0,0,0,1,
12/7/19,0,0,0,0,0,0,
12/8/19,0,0,0,0,0,0,
12/9/19,0,0,1,0,2,3,
12/10/19,1,0,0,0,1,2,
12/11/19,1,0,0,1,1,3,
12/12/19,0,0,0,1,1,2,
12/13/19,0,0,1,1,0,2,
12/14/19,0,0,0,0,0,0,
12/15/19,0,0,0,0,0,0,
12/16/19,0,0,0,0,0,0,
12/17/19,0,0,0,0,1,1,
