Date,Reading,Writing,Meetings,Research,Misc.,Total,
1/7/19,0,0,1,0,1,2,
1/8/19,0,0,1,0,1,2,
1/9/19,0,1,1,0,0,2,
1/10/19,0,1,0,0,1,2,
1/11/19,1,1,0,0,0,2,
1/12/19,1,0,0,0,0,1,
1/13/19,0,0,0,0,1,1,
1/14/19,0,0,1,0,1,2,
1/15/19,1,1,2,0,2,6,
1/16/19,0,0,3,0,0,3,
1/17/19,0,0,2,1,0,3,
1/18/19,0,0,0,3,0,3,
1/19/19,0,0,0,0,0,0,
1/20/19,0,0,0,0,0,0,
1/21/19,0,0,0,2,0,2,
1/22/19,0,0,0,3,0,3,
1/23/19,0,0,0,3,0,3,
1/24/19,0,0,2,0,1,3,
1/25/19,0,0,0,0,1,1,
1/26/19,4,0,0,0,1,5,
1/27/19,1,0,0,0,0,1,
1/28/19,0,0,5,1,0,6,
1/29/19,0,0,0,3,0,3,
1/30/19,1,0,1,0,1,3,
1/31/19,0,0,0,2,1,3,
2/1/19,0,0,3,0,0,3,
2/2/19,1,0,0,0,0,1,
2/3/19,3,0,0,0,0,3,
2/4/19,0,0,1,0,0,1,
2/5/19,0,0,2,0,1,3,
2/6/19,0,0,1,1,0,2,
2/7/19,0,0,0,0,0,0,
2/8/19,0,0,0,0,1,1,
2/9/19,0,0,0,0,0,0,
2/10/19,0,0,0,0,1,1,
2/11/19,0,0,4,0,0,4,
2/12/19,0,0,2,1,0,3,
2/13/19,1,0,1,0,0,2,
2/14/19,0,0,1,0,0,1,
2/15/19,0,0,0,0,0,0,
2/16/19,0,0,0,0,0,0,
2/17/19,0,0,0,0,0,0,
2/18/19,0,0,3,0,1,4,
2/19/19,0,0,2,2,1,5,
2/20/19,0,0,0,1,1,2,
2/21/19,0,1,0,4,0,5,
2/22/19,0,0,1,1,1,3,
2/23/19,0,1,0,1,0,2,
2/24/19,2,0,0,0,0,2,
2/25/19,0,0,1,2,0,3,
2/26/19,1,0,2,2,0,5,
2/27/19,0,0,1,1,0,2,
2/28/19,0,1,1,2,0,4,
3/1/19,0,0,1,1,1,3,
3/2/19,0,0,1,2,0,3,
3/3/19,0,0,0,0,0,0,
3/4/19,0,0,3,0,0,3,
3/5/19,0,1,2,1,0,4,
3/6/19,0,0,1,1,0,2,
3/7/19,0,0,2,2,0,4,
3/8/19,0,0,1,4,0,5,
3/9/19,0,0,0,0,0,0,
3/10/19,0,0,0,0,0,0,
3/11/19,1,0,0,1,0,2,
3/12/19,1,0,0,1,0,2,
3/13/19,1,0,0,0,0,1,
3/14/19,1,0,0,1,0,2,
3/15/19,1,0,0,0,0,1,
3/16/19,0,0,0,0,0,0,
3/17/19,0,0,0,1,1,2,
3/18/19,0,0,2,0,0,2,
3/19/19,0,0,3,0,0,3,
3/20/19,0,0,2,4,0,6,
3/21/19,0,0,0,3,0,3,
3/22/19,1,0,0,0,0,1,
3/23/19,0,0,0,0,0,0,
3/24/19,0,0,0,0,1,1,
3/25/19,1,0,1,0,0,2,
3/26/19,0,0,1,0,0,1,
3/27/19,0,0,0,1,0,1,
3/28/19,2,0,2,0,0,4,
3/29/19,1,2,0,0,0,3,
3/30/19,0,0,0,0,0,0,
3/31/19,0,0,0,0,0,0,
4/1/19,0,0,2,0,0,2,
4/2/19,1,0,2,1,0,4,
4/3/19,0,0,2,1,0,3,
4/4/19,0,0,1,2,0,3,
4/5/19,1,0,0,1,1,3,
4/6/19,0,0,0,0,0,0,
4/7/19,0,0,0,0,0,0,
4/8/19,0,0,3,0,0,3,
4/9/19,1,0,1,1,0,3,
4/10/19,0,0,0,3,0,3,
4/11/19,0,0,1,1,0,2,
4/12/19,0,0,0,2,1,3,
4/13/19,0,0,0,0,0,0,
4/14/19,0,0,0,0,0,0,
4/15/19,0,0,2,1,0,3,
4/16/19,0,0,1,1,0,2,
4/17/19,0,0,0,1,0,1,
4/18/19,0,0,1,1,0,2,
4/19/19,0,0,0,1,1,2,
4/20/19,0,0,0,0,0,0,
4/21/19,0,0,0,0,0,0,
4/22/19,0,0,0,0,1,1,
4/23/19,0,0,1,0,1,2,
4/24/19,0,0,0,0,1,1,
4/25/19,0,0,0,0,0,0,
4/26/19,0,0,0,0,0,0,
4/27/19,0,0,0,0,0,0,
4/28/19,0,0,0,0,0,0,
4/29/19,0,0,0,0,1,1,
4/30/19,0,0,0,0,1,1,
5/1/19,0,0,0,0,1,1,
5/2/19,0,0,0,0,1,1,
5/3/19,0,0,0,0,1,1,
5/4/19,0,0,0,0,0,0,
5/5/19,0,0,0,0,0,0,
5/6/19,1,0,0,1,1,3,
5/7/19,0,0,1,0,1,2,
5/8/19,0,0,0,0,1,1,
5/9/19,0,0,1,0,1,2,
